	初心者向けのギター紹介サイト	40万円	20,000円	600円	19,400円	3,274	5件	2018-11-02
	【価格変更】飲食店ユニフォームの販売サイト	3,024万円	2,500,000円	2,030,000円	470,000円	7,000	4件	2018-07-05
	眉毛を生やす方法をまとめているサイト	90万円	46,372円	1,530円	44,842円	2,839	7件	2018-10-30
	【価格変更】探偵事務所のアフィリエイトサイト	120万円	0円	980円	-980円	-	5件	2018-10-29
	【価格変更】消費者金融のアフィリエイトサイト	40万円	81,980円	980円	81,000円	-	7件	2018-10-18
	評価数907件、高評価97%のアマゾンアカウント	25万円	0円	0円	0円	-	4件	2018-10-29
	【価格変更】オリンピックに関する様々な情報を集めたサイト	40万円	8,000円	500円	7,500円	52,000	11件	2018-09-26
	ウェディングドレスの買取＆再販売ビジネス	50万円	100,000円	122,000円	-22,000円	12,000	1件	2018-10-25
	会計事務所の転職アフィリエイトサイト	150万円	97,066円	980円	96,086円	-	8件	2018-10-24
	格安simやスマホのレビューサイト	30万円	5,682円	1,000円	4,682円	20,556	20件	2018-10-23
	【価格変更】格安SIMのLINEモバイルの情報提供サイト	1,880万円	971,000円	1,000円	970,000円	111,000	2件	2018-10-15
	ストリートファイターのまとめサイト	100万円	70,000円	11,000円	59,000円	600,000	4件	2018-10-19
	【価格変更】コンブチャに関するアフィリエイトサイト	150万円	179,737円	980円	178,757円	5,000	14件	2018-10-03
	インフルエンサー募集&問い合わせサイト	250万円	200,000円	83,000円	117,000円	3,000	2件	2018-10-17
	女性向けの恋愛マガジン	300万円	0円	6,000円	-6,000円	50,000	1件	2018-10-16
	悩み系の恋愛メディア	320万円	166,000円	6,000円	160,000円	55,000	3件	2018-10-16
	ノンアダルトチャットレディの仕事やノウハウを紹介したサイト	30万円	4,892円	2,153円	2,739円	2,292	2件	2018-10-15
	Amazonアカウント（小口）	40万円	0円	5,292円	-5,292円	-	0件	2018-10-12
	カードローンのアフィリエイトサイト	200万円	76,133円	621円	75,512円	299	4件	2018-10-11
	Amazonアメリカのセラーアカウント	50万円	0円	0円	0円	-	0件	2018-11-29
	ペットやガーデニング系の情報サイト	15万円	0円	1,000円	-1,000円	4,500	4件	2018-11-29
	運営8年の腕時計ネットショップ	398万円	360,000円	181,000円	179,000円	35,000	3件	2018-11-28
	看護師に関する情報を提供するサイト	50万円	106,443円	1,180円	105,263円	-	16件	2018-11-26
	【価格変更】住宅ローンに関するアフィリエイトサイト	90万円	4,000円	1,800円	2,200円	4,500	11件	2018-03-05
	【価格変更】プログラミングスクールの紹介サイト	80万円	144,000円	1,300円	142,700円	30,000	24件	2018-11-19
	お祭りやイベントのお役立ち情報サイト	28万円	43,800円	1,400円	42,400円	168,323	27件	2018-11-19
	【価格変更】実体験に基づく不動産ブログ	35万円	16,800円	980円	15,820円	5,000	15件	2018-10-24
	髭脱毛の情報サイト	30万円	9,968円	515円	9,453円	2,620	2件	2018-11-15
	お金に関する悩みの解決方法を解説するサイト	4,500万円	2,138,508円	401,080円	1,737,428円	174,382	7件	2018-11-14
	宿便を出すための色々な方法を紹介するサイト	12万円	4,000円	1,000円	3,000円	1,600	3件	2018-11-13
	セックスレスの解消方法に関するサイト	25万円	24,926円	1,000円	23,926円	3,172	15件	2018-11-13
	ドラマ・映画をメインとした雑記サイト	400万円	522,664円	21,000円	501,664円	220,000	19件	2018-11-12
	泥洗顔のレビューサイト	150万円	169,830円	1,200円	168,630円	4,540	38件	2018-11-09
	【価格変更】40代女性ブロガーの雑記サイト	299万円	138,000円	15,100円	122,900円	99,596	11件	2018-10-23
	【価格変更】目のくぼみの改善方法を説明するサイト	60万円	71,400円	1,000円	70,400円	10,365	14件	2018-10-29
	【価格変更】デュエルマスターズ専門のコミュニティサイト	10万円	6,000円	1,000円	5,000円	100,000	12件	2018-06-13
	USアマゾンの出品アカウント	29万円	0円	0円	0円	-	0件	2018-11-05
	芸能人に関する総合情報サイト	180万円	84,667円	1,100円	83,567円	218,542	3件	2018-11-05
	【価格変更】芸能ニュースなどを扱うエンタメサイト	50万円	26,315円	1,100円	25,215円	64,623	7件	2018-11-01
	探偵案件のアフィリエイトサイト（7サイトセット）	45万円	14,727円	2,538円	12,189円	-	3件	2018-12-17
	英会話スクールの比較サイト	2,000万円	853,430円	51,080円	802,350円	57,115	1件	2018-12-17
	人気ブランドの商品紹介ブログ	150万円	64,741円	635円	64,106円	30,394	2件	2018-12-17
	【価格変更】ジャンルを問わないトレンド系メディア	12万円	400円	400円	0円	1,200	1件	2018-11-19
	VR/ARに関する総合情報サイト	250万円	62,500円	1,900円	60,600円	65,711	1件	2018-12-14
	柔軟剤をメインとした洗濯情報サイト	30万円	3,500円	1,200円	2,300円	20,432	7件	2018-12-14
	格安SIMのUQモバイルに特化したサイト	30万円	2,160円	1,000円	1,160円	-	2件	2018-12-14
	全国の花火大会の情報をまとめたサイト	40万円	15,500円	1,287円	14,213円	42,353	11件	2018-12-13
	様々なタイプの有名人をまとめたサイト	15万円	4,454円	1,500円	2,954円	21,032	6件	2018-12-13
	【価格変更】飲む日焼け止めサプリのアフィリサイト	55万円	44,176円	600円	43,576円	9,222	7件	2018-07-17
	【価格変更】保育士の求人サイト	120万円	60,000円	1,000円	59,000円	220,000	8件	2018-12-10
	【価格変更】男性向けの恋愛系情報サイト	300万円	72,875円	833円	72,042円	9,549	7件	2018-12-04
	【価格変更】美容・ダイエット系のアフィリエイトサイト	198万円	150,000円	1,080円	148,920円	8,000	13件	2018-05-02
	観賞魚の飼育に関するサイト	30万円	2,295円	1,080円	1,215円	20,372	18件	2018-12-07
	「商標系×〇〇」などの関連ワードで上位表示しているサイト	2,000万円	1,428,000円	1,200円	14,276,800円	60,810	1件	2018-12-07
	【価格変更】期間工求人を紹介するサイト	130万円	63,000円	1,080円	61,920円	10,252	4件	2018-12-03
	【価格変更】クラウドファンディングのアフィリエイトサイト	900万円	452,000円	980円	451,020円	20,000	2件	2018-10-25
	ハーブティーや紅茶、中国茶などに関する情報サイト	200万円	10,000円	1,200円	8,800円	23,515	2件	2018-12-06
	パチンコ機種の立ち回りや期待値に関するサイト	50万円	15,402円	1,000円	14,402円	30,000	4件	2018-12-06
	FX・バイナリーオプション情報商材のレビューサイト	80万円	60,410円	782円	59,628円	43,224	4件	2018-12-03
	【価格変更】大学生男子に向けたサイト	38万円	3,336円	1,080円	2,256円	16,737	4件	2018-12-18
	ドラマや映画の情報サイト	50万円	40,000円	5,540円	34,460円	20,000	14件	2018-12-28
	海外の秘境・面白スポット・グルメなどの情報サイト	5,000万円	760,000円	1,000円	759,000円	200,000	0件	2018-12-28
	約4万7千人の読者へのメルマガ配信事業	398万円	350,000円	10,000円	340,000円	-	0件	2018-12-28
	仮想通貨のまとめサイト	300万円	200,000円	0円	200,000円	2,000,000	1件	2018-12-26
	セクシー系の男性下着通販サイト	1,000万円	450,000円	325,000円	125,000円	120,000	0件	2018-12-26
	エンタメ系を中心とした情報発信サイト	200万円	132,942円	1,080円	131,862円	424,963	6件	2018-12-26
	ジャンルを問わない雑記ブログ	100万円	89,524円	11,000円	78,524円	100,000	11件	2018-12-26
	【価格変更】SNSやYouTubeなどの解説サイト	270万円	118,719円	1,000円	117,719円	194,648	9件	2018-12-06
	UQモバイルに特化したサイト	8万円	0円	300円	-300円	287	2件	2018-12-25
	【価格変更】看護師派遣に関するアフィリエイトサイト	580万円	329,760円	980円	328,780円	-	16件	2018-11-02
	【価格変更】光回線・WiFi・格安スマホの選び方に関するサイト	590万円	230,456円	1,080円	229,376円	478,529	11件	2018-12-10
	【価格変更】格安スマホのワイモバイルに特化したサイト	150万円	58,173円	300円	57,873円	20,226	7件	2018-12-07
	【価格変更】プロレスに特化したプロレス総合情報サイト	150万円	75,243円	1,215円	74,028円	-	5件	2018-11-28
	革製品を紹介するブログ	20万円	11,781円	1,080円	10,701円	10,998	13件	2018-12-20
	ダイエット系のSEOサイト	180万円	240,000円	1,000円	239,000円	100,000	27件	2018-12-20
	【価格変更】漫画やアニメのまとめサイト	310万円	150,000円	10,000円	140,000円	1,400,000	2件	2018-12-03
	【価格変更】47都道府県の痩身エステに関する情報サイト	200万円	172,408円	1,000円	171,408円	5,000	8件	2018-09-10
	【価格変更】スマホゲームの2chまとめサイト	115万円	50,000円	1,000円	49,000円	300,000	4件	2018-12-03
	VR機器に関する情報サイト	160万円	74,571円	1,085円	73,486円	39,054	3件	2018-12-17
