	某SFシリーズ映画の輸入玩具販売サイト	3,500万円	2,250,000円	1,350,000円	900,000円	60,000	-	2017-06-15
	移動販売車の手配仲介サイト	800万円	1,972,727円	1,715,917円	256,810円	23,892	-	2017-06-09
	入札情報の検索サービスを提供するサイト	150万円	230,000円	200,000円	30,000円	2,000	-	2017-06-01
	【価格変更】シリカ水のランキングサイト	70万円	43,364円	500円	42,864円	4,082	-	2017-05-09
	サプリメントの商品レビューサイト	350万円	374,544円	1,000円	373,544円	12,877	-	2017-05-22
	海外のオカルト情報を発信するサイト	110万円	58,400円	1,000円	57,400円	142,430	-	2017-05-18
	看護師の派遣（非常勤）に関する総合サイト	230万円	152,000円	1,000円	151,000円	4,223	-	2017-05-11
	看護師のバイト（非常勤）に関する総合サイト	30万円	16,000円	1,000円	15,000円	2,803	-	2017-05-11
	看護師の転職に関する総合サイト	135万円	75,000円	1,000円	74,000円	60,104	-	2017-05-11
	スマホアプリの攻略サイト	5万円	3,000円	1,200円	1,800円	2,287	件	2017-05-10
	オンライン韓国語のレッスンサイト	50万円	0円	3,888円	-3,888円	-	-	2017-04-24
	海外ファッションの通販サイト	980万円	3,300,000円	2,340,000円	960,000円	350,000	-	2017-04-24
	【価格変更】バッグ専門の海外ブランドECサイト	200万円	415,318円	214,265円	201,053円	68,536	-	2017-03-13
	【価格変更】家庭ゲームの攻略サイト	450万円	400,000円	31,200円	368,800円	2,000,000	-	2017-04-13
	特定ジャンルの人物紹介や芸能に近いネタのまとめサイト	22万円	10,000円	200円	9,800円	57,000	-	2017-08-31
	某漫画の考察・分析をしているファンブログ	54万円	50,000円	1,170円	48,830円	300,000	-	2017-08-30
	アプリ・ゲームの攻略サイト	60万円	50,000円	1,000円	49,000円	340,000	-	2017-08-21
	お腹に関する悩みサイト	200万円	53,000円	1,300円	51,700円	160,000	-	2017-08-18
	男性版のダイエット情報サイト	3万円	300円	350円	-50円	441	-	2017-08-10
	初音ミクやアニメの情報発信サイト	30万円	20,000円	1,500円	18,500円	200,000	件	2017-08-08
	【価格変更】芸能・イベント・生活ネタなどを扱うブログサイト	820万円	341,900円	1,080円	340,820円	642,132	-	2017-05-02
	ジュエリー専門のECサイト	50万円	75,000円	47,500円	27,500円	4,000	-	2017-07-31
	車の一括査定サイト（新車、中古車値引き、ニュース記事含む）	5万円	0円	500円	-500円	300	-	2017-07-31
	中古車一括査定のアフィリエイトサイト	180万円	58,000円	1,000円	57,000円	15,000	-	2017-07-26
	AGAクリニックのアフィリエイトサイト	75万円	32,000円	1,000円	31,000円	11,000	-	2017-07-26
	独自技術によるリアルタイムコミュニケーションサイト	応相談	0円	1,700円	-1,700円	300	-	2017-07-25
	お洒落なOL向けのオフィス雑貨の通販サイト	110万円	100,000円	50,000円	50,000円	1,000	-	2017-07-24
	小・中学生の塾活用に関する情報サイト	11万円	5,400円	400円	5,000円	3,155	-	2017-07-20
	人気ゲームアプリの情報まとめサイト	15万円	8,000円	200円	7,800円	82,000	件	2017-07-07
	ニュースまとめサービス	25万円	2,700円	200円	2,500円	141,279	-	2017-07-05
	看護学生や看護師への看護技術提供サイト	180万円	67,000円	400円	66,600円	271,537	-	2017-07-03
